OBJECTID,Neighborhood Name,Primary Ward,HasData,ORIGINAL_OID,Percent Minority Population,Total Population,Population Under 200% of Poverty,Population for which poverty status is determined,"Percent Non-Working Age (0-17, 65+)",Percent Seniors,Percent Children,Percent Unemployed,KeyField,HeatSeverity,PCTTreeCover,AREASqKm,PopDensity,PopAdjFactor,GOAL,GAP,GapScore,PriorityIndex,TreeEquityScore,PCTPoverty,Status,TES,AreaSqMi,PopDens_SqMi,PriorityCategory,Shape__Area,Shape__Length,Percent Working Age (18-64)
99,Country Glenn,3,1,26,43.38,1277,638,954,31.17,13.23,17.93,13.05,26,5.0496,14.3773765683125,0.559856798702522,2280.94041719145,1,15,0.622623431687501,3.5707494441646,0.450258740267786,98.3922388534586,33.1236897274633,04 Low Priority,89 - 99,0.216161918481802,5907.60856014287,Low Priority,6026275.42123413,10571.3219596218,68.83
100,Rancho Cancion,4,1,324,31.25,144,155,180,39.58,15.28,24.31,10.14,324,5.03944203944204,7.45198017080582,1.89174326643582,76.1202656591485,1.2,18,10.5480198291942,60.4929625601311,0.342194592312553,79.2996353389574,13.8888888888889,03 Low-Moderate Priority,79 - 89,0.730406158673798,197.150582987227,Moderate Priority,20495921.318634,26814.0793234932,60.42
101,Udall Park,2,1,65,31.25,352,262,332,46.88,32.95,13.64,13.09,65,3.9814126394052,17.0868399541541,0.245218299083467,1435.45567894257,1.2,18,0.913160045845899,5.23697882249654,0.328037444174458,98.2820748518725,21.0843373493976,04 Low Priority,89 - 99,0.0946793146025307,3717.81314089267,Low Priority,2639645.48855591,7003.94999058117,53.12
102,Golden Hills,1,0,229,0,0,0,0,0,0,0,0,229,5.24,8.80025884103692,0.0434359760560709,0,1.2,18,9.19974115896308,,,,,,,0.0167707241158188,0,,467531.702728271,4085.89302078286,0
103,Summer Annexation District,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,138942.020904541,1483.6897836867,
104,Richland Heights East,3,1,284,45.63,583,277,476,31.9,15.27,16.64,13.65,284,4.77777777777778,15.4070783978302,0.659688856672964,883.749958943172,1.2,18,2.5929216021698,14.8704223106675,0.468360765252653,93.0352776269456,41.8067226890756,04 Low Priority,89 - 99,0.254707291560843,2288.90188587607,Low Priority,7100892.01699829,10668.6529645325,68.1
105,Cottonwood Manor,3,1,264,43.9,328,141,266,45.73,28.96,16.77,13.87,264,3.96428571428571,11.2436714447647,0.105638592373606,3104.92588579731,1,15,3.7563285552353,21.5425687792587,0.417357220995159,91.0090533611915,46.9924812030075,04 Low Priority,89 - 99,0.0407872885462154,8041.72112662867,Low Priority,1129089.43640137,5108.60515599588,54.27
106,Starr Pass,1,1,58,50.73,1786,1235,1654,46.7,32.75,13.94,9.82,58,3.7105529902016,5.26785809542121,8.01840291896129,222.737622198631,1.2,18,12.7321419045788,73.0189169167309,0.350350873000487,74.4177587126733,25.3325272067715,02 Upper-Moderate Priority,64 - 79,3.09592267547567,576.887793144119,High Priority,86361851.31604,55569.6000161187,53.3
107,Mission De Oro,2,1,450,39.61,1083,618,964,36.66,20.96,15.7,14.39,450,4.58402662229617,6.125150338461,0.544575731467824,1988.70411849043,1.2,18,11.874849661539,68.1023403079382,0.429328154202557,70.7617479387185,35.8921161825726,02 Upper-Moderate Priority,64 - 79,0.210261865436661,5150.72002120252,High Priority,5862125.50149536,9682.0504762289,63.34
108,Broadkel,2,1,380,26.8,306,125,147,52.29,39.54,12.75,13.33,380,2.96236559139785,12.9514021598331,0.169656109425793,1803.64857496537,1.2,18,5.0485978401669,28.9537415620981,0.266112074842536,92.2950597584555,14.9659863945578,04 Low Priority,89 - 99,0.0655045900677396,4671.42836377663,Low Priority,1826226.96588135,5404.31716798832,47.71
